id,routeId,name,latitude,longitude,sequence
stop-17-03,route-17,Check Post,,,3
stop-17-04,route-17,APMC Gate,,,4
stop-17-05,route-17,St. Joseph School Backside Circle,,,5
stop-17-06,route-17,Nalanda College,,,6
stop-17-07,route-17,Nandi School,,,7
stop-17-08,route-17,Tilak Nagar,,,8
stop-17-09,route-17,BITM,,,9
stop-19-01,route-19,ANDRAL Petrol Bunk,,,1
stop-19-02,route-19,Bapujinagar Circle,,,2
stop-19-03,route-19,Beerappa Temple,,,3
stop-19-04,route-19,BITM,,,4
stop-20-01,route-20,HP Petrol Bunk (Havambhavi),,,1
stop-20-02,route-20,Classic Function Hall,,,2
stop-20-03,route-20,Canal (Havambhavi),,,3
stop-20-04,route-20,Chaitanya Girls College,,,4
stop-20-05,route-20,Shivagiri Nagar,,,5
stop-20-06,route-20,Sriramulu Office,,,6
stop-20-07,route-20,BBC College,,,7
stop-20-08,route-20,S. P. Circle,,,8
stop-20-09,route-20,BITM,,,9
stop-21-01,route-21,Basaveswara Nagar Kids School,,,1
stop-21-02,route-21,Basaveswara Temple,,,2
stop-21-03,route-21,R. K. Hospital / MMTC,,,3
stop-21-04,route-21,BITM,,,4
stop-22-01,route-22,Kutty Hotel,,,1
stop-22-02,route-22,Fort Sai Baba Temple,,,2
stop-22-03,route-22,Fort Masjid,,,3
stop-22-04,route-22,Radio Park 2nd Gate,,,4
stop-22-05,route-22,Yerrithatha Bakery,,,5
stop-22-06,route-22,Kuvempu Nagar 4th cross,,,6
stop-22-07,route-22,Kuvempu Nagar 3rd cross,,,7
stop-22-08,route-22,BITM,,,8
stop-23-01,route-23,Vajpayee Layout,,,1
stop-23-02,route-23,Bharath Milk Dairy,,,2
stop-23-03,route-23,Maremma Temple,,,3
stop-23-04,route-23,KEB,,,4
stop-23-05,route-23,Suryanarayana Office,,,5
stop-23-06,route-23,Gandhinagar 3rd cross,,,6
stop-23-07,route-23,BITM,,,7
stop-24-01,route-24,Royal Enfield (Bullet) Showroom,,,1
stop-24-02,route-24,Water Tank - Raghavendra Colony,,,2
stop-24-03,route-24,Uma Maheswara Kalyana Mantapa,,,3
stop-24-04,route-24,Sanna Durgamma Temple,,,4
stop-24-05,route-24,BITM,,,5
stop-25-01,route-25,Kappagal Road - Bharath Nursing Home,,,1
stop-25-02,route-25,Vishal Mart (OPD Cross),,,2
stop-25-03,route-25,SBI Bank,,,3
stop-25-04,route-25,Devi Nagar,,,4
stop-25-05,route-25,Hotel Rock Garden,,,5
stop-25-06,route-25,Reliance Digital Mart,,,6
stop-25-07,route-25,Vasavi School,,,7
stop-25-08,route-25,Old Canara Bank (OPD Cross),,,8
stop-25-09,route-25,BITM,,,9
